constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,cong_voteshare,others_voteshare,tmc_minus_bjp_margin,winner,total_votes
195,0.4842,0.399,0.0,0.0,0.1168,0.0852,tmc,210411
196,0.4992,0.3947,0.0,0.0,0.1061,0.1045,tmc,220774
197,0.5336,0.4046,0.0138,0.0386,0.0093,0.129,tmc,233838
198,0.4696,0.4333,0.0709,0.0,0.0263,0.0363,tmc,205917
199,0.4086,0.535,0.0,0.0351,0.0213,-0.1264,bjp,223074
200,0.4362,0.4688,0.068,0.0,0.0271,-0.0326,bjp,219960
201,0.4467,0.4656,0.0655,0.0,0.0221,-0.0189,bjp,219545
202,0.4336,0.4927,0.0,0.0,0.0737,-0.0591,bjp,217991
203,0.4586,0.4552,0.0,0.0,0.0862,0.0034,tmc,236031
204,0.4597,0.4111,0.1044,0.0,0.0248,0.0486,tmc,198400
205,0.4771,0.4391,0.0,0.0,0.0838,0.038,tmc,234141
206,0.4761,0.4817,0.0,0.0228,0.0195,-0.0056,bjp,224434
207,0.476,0.4522,0.0562,0.0,0.0156,0.0238,tmc,227275
208,0.4649,0.4541,0.0,0.0,0.081,0.0108,tmc,219355
209,0.4036,0.4715,0.1027,0.0,0.0221,-0.0679,bjp,220823
210,0.4764,0.4849,0.0274,0.0,0.0112,-0.0085,bjp,228405
211,0.4982,0.4371,0.0446,0.0,0.0201,0.0611,tmc,220327
212,0.5042,0.4564,0.0,0.0,0.0394,0.0478,tmc,208827
213,0.4562,0.497,0.0285,0.0,0.0184,-0.0408,bjp,228416
214,0.4219,0.5456,0.0,0.0237,0.0088,-0.1237,bjp,222650
215,0.4348,0.5193,0.0367,0.0,0.0092,-0.0845,bjp,212621
216,0.453,0.5058,0.0,0.0,0.0412,-0.0528,bjp,194681
217,0.5072,0.4508,0.0304,0.0,0.0116,0.0564,tmc,222060
218,0.5222,0.4455,0.0,0.0211,0.0112,0.0767,tmc,240817
219,0.4813,0.4782,0.0,0.0,0.0405,0.0031,tmc,197798
220,0.5246,0.4063,0.0305,0.0,0.0387,0.1183,tmc,192354
221,0.523,0.4036,0.0292,0.0,0.0442,0.1194,tmc,199070
222,0.5426,0.3531,0.0517,0.0,0.0526,0.1895,tmc,201797
223,0.5001,0.428,0.0436,0.0,0.0283,0.0721,tmc,212681
224,0.4425,0.4645,0.0,0.063,0.0301,-0.022,bjp,171385
225,0.4633,0.4523,0.0608,0.0,0.0236,0.011,tmc,217750
226,0.4746,0.4328,0.0,0.0738,0.0187,0.0418,tmc,236201
227,0.4917,0.4626,0.0,0.0311,0.0147,0.0291,tmc,228669
228,0.5485,0.3674,0.0562,0.0,0.0279,0.1811,tmc,200044
229,0.4679,0.4131,0.1012,0.0,0.0179,0.0548,tmc,204866
230,0.5158,0.3952,0.0766,0.0,0.0124,0.1206,tmc,222464
231,0.4652,0.4695,0.0451,0.0,0.0202,-0.0043,bjp,225375
232,0.4887,0.4435,0.0,0.0,0.0678,0.0452,tmc,249315
233,0.4571,0.4062,0.1109,0.0,0.0258,0.0509,tmc,207681
234,0.5057,0.3747,0.0797,0.0,0.0399,0.131,tmc,249195
235,0.5081,0.4182,0.0594,0.0,0.0143,0.0899,tmc,230232
236,0.5072,0.4051,0.0,0.0,0.0877,0.1021,tmc,238898
237,0.5311,0.3219,0.0442,0.0,0.1027,0.2092,tmc,188798
238,0.4702,0.3921,0.0921,0.0,0.0457,0.0781,tmc,241055
239,0.4501,0.4522,0.0,0.0449,0.0528,-0.0021,bjp,197965
240,0.3679,0.0,0.0574,0.2474,0.3272,0.3679,tmc,206303
241,0.0,0.3668,0.0957,0.3067,0.2308,-0.3668,bjp,202767
242,0.3998,0.4338,0.0,0.1208,0.0456,-0.034,bjp,206868
243,0.4833,0.4107,0.0788,0.0,0.0271,0.0726,tmc,213729
244,0.439,0.4769,0.0561,0.0,0.0281,-0.0379,bjp,194892
245,0.4295,0.4502,0.0705,0.0,0.0498,-0.0207,bjp,194021
246,0.4208,0.4461,0.0686,0.0,0.0645,-0.0253,bjp,214690
247,0.4323,0.4528,0.0696,0.0,0.0453,-0.0205,bjp,202413
248,0.422,0.4584,0.0,0.0,0.1196,-0.0364,bjp,196836
249,0.4306,0.4119,0.1019,0.0,0.0556,0.0187,tmc,211170
250,0.5196,0.4198,0.0,0.0,0.0606,0.0998,tmc,194476
251,0.4529,0.392,0.1141,0.0,0.041,0.0609,tmc,203186
252,0.4312,0.4379,0.0,0.0631,0.0677,-0.0067,bjp,217986
253,0.4251,0.4102,0.115,0.0,0.0497,0.0149,tmc,219452
254,0.4137,0.4648,0.0759,0.0,0.0456,-0.0511,bjp,225759
255,0.4088,0.4684,0.0,0.0826,0.0402,-0.0596,bjp,191469
